ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj
002594.SZ,20260127,281.3253,282.2967,278.6841,278.7145,281.2038,-2.4892,-0.8852,362980.92,3340756.01,hfq
002594.SZ,20260128,278.6842,283.845,273.2502,283.3593,278.7146,4.6448,1.6665,715566.18,6553150.013,hfq
002594.SZ,20260129,281.2949,282.0842,278.1074,280.2324,283.3592,-3.1269,-1.1035,371824.81,3423462.525,hfq
002594.SZ,20260130,280.111,280.111,275.3448,275.9216,280.2324,-4.3108,-1.5383,329175.6,3001871.204,hfq
002594.SZ,20260202,267.1482,270.4572,264.0213,264.2642,275.9216,-11.6574,-4.2249,646973.85,5676850.727,hfq
002594.SZ,20260203,264.7195,265.3267,260.7123,265.2356,264.2642,0.9714,0.3676,377826.85,3275997.179,hfq
002594.SZ,20260204,264.0821,271.1858,262.4428,270.609,265.2357,5.3734,2.0259,376504.71,3322530.225,hfq
002594.SZ,20260205,268.6662,276.9539,268.1501,273.5538,270.6091,2.9448,1.0882,354240.31,3184480.193,hfq
002594.SZ,20260206,271.3681,275.2236,270.1842,272.6735,273.5539,-0.8803,-0.3218,247087.79,2217096.985,hfq
002594.SZ,20260209,274.7378,275.1932,272.7039,273.4021,272.6735,0.7286,0.2672,208179.51,1875980.039,hfq
002594.SZ,20260210,273.22,277.9862,272.7343,275.679,273.4022,2.2769,0.8328,267604.81,2434219.975,hfq
002594.SZ,20260211,275.8916,282.1757,275.8916,280.1417,275.6791,4.4627,1.6188,396949.59,3662117.779,hfq
002594.SZ,20260212,280.172,280.3542,276.4987,276.7416,280.1417,-3.4001,-1.2137,230313.32,2106032.227,hfq
002594.SZ,20260213,273.3719,276.5291,272.8558,274.0398,276.7416,-2.7018,-0.9763,217338.87,1963579.417,hfq
002594.SZ,20260224,279.231,279.2614,275.072,275.8613,274.0398,1.8215,0.6647,206444.58,1879888.761,hfq
002594.SZ,20260225,275.9221,281.69,275.9221,277.6221,275.8613,1.7608,0.6383,324780.1,2985714.58,hfq
002594.SZ,20260226,277.4703,277.4703,272.0362,272.7648,277.622,-4.8573,-1.7496,291018.94,2619922.211,hfq
002594.SZ,20260227,271.3987,273.038,270.4879,271.1558,272.7648,-1.609,-0.5899,219340.83,1962319.079,hfq
002594.SZ,20260302,267.1486,295.2296,266.2986,293.8331,271.1558,22.6773,8.3632,1435136.88,13507227.574,hfq
002594.SZ,20260303,292.6188,294.4403,285.3329,289.0366,293.8331,-4.7965,-1.6324,865741.45,8272503.576,hfq
002594.SZ,20260304,289.0061,293.8634,284.4525,291.4044,289.0365,2.3678,0.8192,700968.92,6674964.518,hfq
002594.SZ,20260305,293.8634,293.9241,285.0292,286.79,291.4044,-4.6144,-1.5835,552439.97,5235746.09,hfq
002594.SZ,20260306,291.4345,291.4345,283.0862,284.2094,286.7898,-2.5806,-0.8998,503540.37,4743654.925,hfq
002594.SZ,20260309,284.2095,297.5062,282.3273,296.049,284.2095,11.8396,4.1658,1093408.99,10562485.735,hfq
002594.SZ,20260310,295.0169,295.9579,291.6775,293.2561,296.049,-2.7929,-0.9434,507462.43,4907397.251,hfq
002594.SZ,20260311,293.7114,304.6099,290.4328,301.2098,293.2561,7.9537,2.7122,903743.75,8925093.668,hfq
002594.SZ,20260312,301.2403,305.6725,299.6313,300.8456,301.2099,-0.3642,-0.1209,502523.57,4995016.177,hfq
002594.SZ,20260313,300.5421,305.9762,298.4171,302.5761,300.8457,1.7305,0.5752,519764.82,5199004.697,hfq
002594.SZ,20260316,302.5761,318.7568,299.9046,317.6032,302.5761,15.0271,4.9664,1087814.26,11184164.655,hfq
002594.SZ,20260317,317.6337,323.7963,311.805,312.2907,317.6033,-5.3125,-1.6727,841388.6,8793237.613,hfq
002594.SZ,20260318,312.1388,312.1388,303.7297,308.7084,312.2906,-3.5823,-1.1471,617996.48,6257459.33,hfq
002594.SZ,20260319,306.5834,315.3568,305.0048,310.5906,308.7084,1.8822,0.6097,531059.39,5450382.395,hfq
002594.SZ,20260320,309.6493,317.087,308.3136,312.7762,310.5904,2.1856,0.7037,628783.24,6495105.104,hfq
002594.SZ,20260323,315.3263,339.4607,313.2316,326.7408,312.7762,13.9646,4.4647,1782445.51,19284919.429,hfq
002594.SZ,20260324,329.0784,329.0784,318.5442,323.7354,326.7408,-3.0054,-0.9198,921446.17,9784806.491,hfq
002594.SZ,20260325,323.9783,326.8319,319.6068,323.614,323.7354,-0.1214,-0.0375,662664.89,7061311.678,hfq
002594.SZ,20260326,323.6746,326.8925,311.7744,313.1101,323.6139,-10.5039,-3.2458,828120.67,8655663.075,hfq
002594.SZ,20260327,315.6904,321.4584,311.9261,319.6673,313.11,6.5572,2.0942,658454.64,6893710.026,hfq
002594.SZ,20260330,314.2334,327.8641,313.4441,321.9443,319.6675,2.277,0.7123,727557.23,7713482.118,hfq
002594.SZ,20260331,324.8281,329.3514,319.0601,319.5155,321.9441,-2.4288,-0.7544,588659.01,6283345.063,hfq
002594.SZ,20260401,321.4888,323.3102,310.7725,311.6225,319.5155,-7.893,-2.4703,715198.11,7383168.512,hfq
002594.SZ,20260402,311.1368,314.1422,305.0956,308.5867,311.6225,-3.0358,-0.9742,604349.47,6153958.208,hfq
002594.SZ,20260403,309.0422,310.5601,300.542,300.5724,308.5869,-8.0143,-2.5971,491745.16,4921224.066,hfq
002594.SZ,20260407,302.0599,302.8795,295.8365,297.4455,300.5724,-3.1269,-1.0403,379697.46,3731963.03,hfq
002594.SZ,20260408,299.0242,307.4636,297.8402,307.2815,297.4456,9.836,3.3068,562818.4,5621410.29,hfq
002594.SZ,20260409,304.2153,304.2153,299.9652,300.6331,307.2815,-6.6484,-2.1636,379062.93,3764528.22,hfq
002594.SZ,20260410,301.7261,310.2567,300.6332,308.6477,300.6332,8.0146,2.6659,605731.35,6130392.652,hfq
002594.SZ,20260413,308.3441,318.7265,306.0369,316.48,308.6477,7.8323,2.5376,663135.98,6887089.022,hfq
002594.SZ,20260414,312.6852,316.2977,311.1673,315.1745,316.4799,-1.3055,-0.4125,543342.83,5614541.232,hfq
002594.SZ,20260415,315.1746,318.0586,311.1673,312.7763,315.1746,-2.3982,-0.7609,428719.17,4431952.62,hfq
002594.SZ,20260416,313.5353,321.7016,313.5353,320.3962,312.7764,7.6199,2.4362,643661.46,6763624.067,hfq
002594.SZ,20260417,318.7265,320.1533,313.0496,315.0532,320.3962,-5.343,-1.6676,442047.63,4595671.718,hfq
002594.SZ,20260420,315.0533,315.5694,311.5318,312.4122,315.0533,-2.641,-0.8383,383676.96,3957213.043,hfq
002594.SZ,20260421,312.4121,313.2621,307.6155,308.2227,312.4121,-4.1895,-1.341,432257.69,4398233.495,hfq
002594.SZ,20260422,306.9476,310.803,305.3993,308.4958,308.2226,0.2731,0.0886,343733.37,3485648.244,hfq
002594.SZ,20260423,308.3439,308.4046,300.5723,303.517,308.4957,-4.9788,-1.6139,492163.75,4915554.212,hfq
002594.SZ,20260424,303.3045,303.3045,299.6312,301.9384,303.517,-1.5786,-0.5201,337738.78,3348015.919,hfq
002594.SZ,20260427,303.5776,315.7207,303.2133,310.6813,301.9383,8.7429,2.8956,601670.2,6169037.082,hfq
002594.SZ,20260428,309.1939,313.5958,307.6457,308.0707,310.6815,-2.6106,-0.8403,361550.04,3687912.785,hfq
002594.SZ,20260429,308.0402,320.6994,306.6134,319.9708,308.0706,11.9001,3.8628,1056557.81,11021927.729,hfq
002594.SZ,20260430,317.3601,320.1227,310.7725,312.6243,319.9709,-7.3465,-2.296,600978.53,6206126.903,hfq
002594.SZ,20260506,308.7384,309.3152,304.1847,305.8544,312.6242,-6.7699,-2.1655,670487.11,6746578.445,hfq
002594.SZ,20260507,306.7653,307.4028,303.6081,304.9742,305.8546,-0.8802,-0.2878,468845.96,4708289.851,hfq
002594.SZ,20260508,305.0045,306.6135,302.9705,303.6384,304.9741,-1.3358,-0.438,382157.5,3823821.998,hfq
002594.SZ,20260511,303.6383,305.7937,300.5418,304.9133,303.6383,1.2749,0.4199,482810.04,4812920.715,hfq
002594.SZ,20260512,303.4866,303.8812,300.8454,301.2401,304.9134,-3.6732,-1.2047,353441.29,3514548.836,hfq
002594.SZ,20260513,301.24,301.3008,296.9292,299.3275,301.24,-1.9126,-0.6349,456193.52,4481395.884,hfq
002594.SZ,20260514,300.5417,303.5774,298.872,299.722,299.3273,0.3945,0.1318,339179.88,3361151.176,hfq
002594.SZ,20260515,297.5057,297.5968,292.2235,292.3449,299.7218,-7.3771,-2.4613,466217.23,4507893.858,hfq
002594.SZ,20260518,289.4305,291.252,286.2733,286.9108,292.3448,-5.4341,-1.8588,354613.17,3359745.463,hfq
