ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj
688981.SH,20250728,93.6398,93.6898,91.9598,92.1798,93.4698,-1.29,-1.3801,342640.05,3167887.757,hfq
688981.SH,20250729,91.9999,92.6299,90.8099,92.1699,92.1799,-0.0099,-0.0108,294142.08,2699803.673,hfq
688981.SH,20250730,91.6999,91.8299,89.7399,90.3599,92.1699,-1.81,-1.9638,310018.59,2815721.986,hfq
688981.SH,20250731,90.3199,92.7499,89.4599,89.4999,90.3599,-0.86,-0.9517,461988.52,4187082.774,hfq
688981.SH,20250801,89.1999,90.3299,88.0199,88.2899,89.4999,-1.21,-1.352,274140.33,2439842.712,hfq
688981.SH,20250804,87.9499,90.6299,87.8799,90.0699,88.2899,1.78,2.0161,286057.6,2568808.038,hfq
688981.SH,20250805,89.8499,90.5799,89.5799,89.9999,90.0699,-0.07,-0.0777,195679.4,1761818.589,hfq
688981.SH,20250806,89.8599,90.9999,89.5299,90.7799,89.9999,0.78,0.8667,267797.87,2418543.09,hfq
688981.SH,20250807,90.6999,91.6999,89.7499,90.5899,90.7799,-0.19,-0.2093,315259.94,2859638.85,hfq
688981.SH,20250808,87.9999,88.4999,86.6599,86.6599,90.5899,-3.93,-4.3382,584730.5,5098977.106,hfq
688981.SH,20250811,86.69,87.18,86.22,86.96,86.66,0.3001,0.3462,279193.14,2423559.078,hfq
688981.SH,20250812,86.9499,90.0999,86.4199,88.5199,86.9599,1.5599,1.7939,551552.4,4870773.398,hfq
688981.SH,20250813,88.01,89.23,88.0,88.66,88.52,0.1401,0.1582,384304.42,3405728.487,hfq
688981.SH,20250814,88.69,92.58,88.69,89.46,88.66,0.8,0.9023,741492.26,6741604.128,hfq
688981.SH,20250815,89.0,93.3,88.48,91.84,89.46,2.38,2.6604,690499.46,6288369.53,hfq
688981.SH,20250818,93.5,95.17,91.36,92.31,91.84,0.47,0.5118,833423.13,7749849.746,hfq
688981.SH,20250819,91.67,92.48,89.35,89.35,92.31,-2.96,-3.2066,744652.14,6762914.098,hfq
688981.SH,20250820,89.3999,92.4899,88.1899,92.2799,89.3499,2.9299,3.2792,858745.56,7756060.795,hfq
688981.SH,20250821,92.2999,94.1099,90.7999,91.0499,92.2799,-1.23,-1.3329,606826.05,5593619.618,hfq
688981.SH,20250822,92.4999,104.9999,92.4199,103.9699,91.0499,12.92,14.19,2061948.09,20322967.7,hfq
688981.SH,20250825,105.9999,109.2399,101.0999,103.1699,103.9699,-0.8,-0.7695,1760636.98,18348502.386,hfq
688981.SH,20250826,100.9999,102.5699,100.1299,100.9299,103.1699,-2.24,-2.1712,856074.09,8663988.281,hfq
688981.SH,20250827,102.1999,106.6899,100.5899,101.5099,100.9299,0.58,0.5747,1422620.71,14762335.293,hfq
688981.SH,20250828,101.9999,119.2199,101.9899,119.2199,101.5099,17.71,17.4466,2420325.11,27118768.322,hfq
688981.SH,20250829,113.9999,115.9999,112.2599,114.7599,119.2199,-4.46,-3.741,1639670.37,18711478.532,hfq
688981.SH,20250909,101.9999,108.6499,101.1999,102.9899,114.7599,-11.77,-10.2562,1574695.7,16482005.03,hfq
688981.SH,20250910,102.9999,105.9599,102.1299,103.9099,102.9899,0.92,0.8933,1039925.7,10822524.036,hfq
688981.SH,20250911,102.6199,112.7999,99.9799,110.2799,103.9099,6.37,6.1303,1467501.66,15776091.423,hfq
688981.SH,20250912,109.2799,112.4899,108.0099,108.4199,110.2799,-1.86,-1.6866,1159022.04,12730296.246,hfq
